Start_Lat,Start_Lng,rttyp,Junction,Crossing,Traffic_Signal,Stop,Station,Amenity,_gidx
31.356,-89.347,S,0.039619651347068144,0.12361331220285261,0.27892234548335976,0.12361331220285261,0.025356576862123614,0.022187004754358162,86
31.38,-89.325,S,0.039619651347068144,0.12361331220285261,0.27892234548335976,0.12361331220285261,0.025356576862123614,0.022187004754358162,86
43.148,-88.493,S,0.017045454545454544,0.028409090909090908,0.10227272727272728,0.0,0.0,0.0,183
43.148,-88.494,S,0.017045454545454544,0.028409090909090908,0.10227272727272728,0.0,0.0,0.0,183
32.93,-97.032,S,0.12163709215798511,0.08557527189467659,0.14281625643961077,0.008872352604464796,0.0017172295363480253,0.004006868918145392,83
32.836,-96.902,S,0.0599568202944616,0.14277789438963687,0.18655731806051157,0.020465381270802722,0.060676482053434885,0.018111487600827612,83
33.051,-97.478,S,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,83
33.054,-97.479,S,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,83
32.925,-97.089,S,0.12163709215798511,0.08557527189467659,0.14281625643961077,0.008872352604464796,0.0017172295363480253,0.004006868918145392,83
32.924,-97.087,S,0.12163709215798511,0.08557527189467659,0.14281625643961077,0.008872352604464796,0.0017172295363480253,0.004006868918145392,83
33.005,-97.218,S,0.12163709215798511,0.08557527189467659,0.14281625643961077,0.008872352604464796,0.0017172295363480253,0.004006868918145392,83
33.003,-97.218,S,0.12163709215798511,0.08557527189467659,0.14281625643961077,0.008872352604464796,0.0017172295363480253,0.004006868918145392,83
44.055,-123.101,S,0.068929774552993,0.0668566986265872,0.05415910857735164,0.014252396994039906,0.003627882871210158,0.0028504793988079814,193
44.061,-122.975,S,0.068929774552993,0.0668566986265872,0.05415910857735164,0.014252396994039906,0.003627882871210158,0.0028504793988079814,193
42.904,-73.2,S,0.0,0.0,0.0,0.0,0.0,0.0,189
42.902,-73.203,S,0.0,0.0,0.0,0.0,0.0,0.0,189
40.338,-75.134,S,0.10854816824966079,0.06614654002713705,0.20488466757123475,0.028833107191316147,0.0,0.00983717774762551,164
40.338,-75.134,S,0.10854816824966079,0.06614654002713705,0.20488466757123475,0.028833107191316147,0.0,0.00983717774762551,164
40.305,-75.15,S,0.10854816824966079,0.06614654002713705,0.20488466757123475,0.028833107191316147,0.0,0.00983717774762551,164
40.061,-82.389,S,0.03471552555448409,0.011571841851494697,0.11764705882352941,0.015429122468659595,0.0,0.008678881388621022,161
40.061,-82.39,S,0.03471552555448409,0.011571841851494697,0.11764705882352941,0.015429122468659595,0.0,0.008678881388621022,161
41.784,-71.081,S,0.09295774647887324,0.01596244131455399,0.06291079812206572,0.008450704225352112,0.0,0.0,190
41.785,-71.08,S,0.09295774647887324,0.01596244131455399,0.06291079812206572,0.008450704225352112,0.0,0.0,190
33.523,-117.163,S,0.054423452410417184,0.030773038528174243,0.07499381239171686,0.025932953826691967,0.005197590957841762,0.004207573632538569,75
33.522,-117.163,S,0.054423452410417184,0.030773038528174243,0.07499381239171686,0.025932953826691967,0.005197590957841762,0.004207573632538569,75
31.953,-102.145,S,0.026845637583892617,0.0,0.0,0.0,0.0,0.0,81
31.991,-102.152,S,0.026845637583892617,0.0,0.0,0.0,0.0,0.0,81
31.951,-102.14,S,0.026845637583892617,0.0,0.0,0.0,0.0,0.0,81
31.952,-102.138,S,0.026845637583892617,0.0,0.0,0.0,0.0,0.0,81
29.861,-97.708,S,0.06278026905829596,0.0,0.11210762331838565,0.0,0.0,0.0,59
30.3,-97.57,S,0.02335127494155385,0.13309411189039308,0.1953188713097374,0.019164899690099494,0.04648507584407111,0.054368509759147504,59
29.92,-97.678,S,0.06278026905829596,0.0,0.11210762331838565,0.0,0.0,0.0,59
30.3,-97.569,S,0.02335127494155385,0.13309411189039308,0.1953188713097374,0.019164899690099494,0.04648507584407111,0.054368509759147504,59
29.984,-97.682,S,0.06278026905829596,0.0,0.11210762331838565,0.0,0.0,0.0,59
29.715,-97.882,S,0.10738255033557047,0.020134228187919462,0.1342281879194631,0.04530201342281879,0.0,0.0,59
29.716,-97.882,S,0.10738255033557047,0.020134228187919462,0.1342281879194631,0.04530201342281879,0.0,0.0,59
30.558,-97.578,S,0.052390057361376675,0.10745697896749522,0.2695984703632887,0.006883365200764819,0.008413001912045888,0.015296367112810707,59
30.501,-97.581,S,0.052390057361376675,0.10745697896749522,0.2695984703632887,0.006883365200764819,0.008413001912045888,0.015296367112810707,59
30.558,-97.577,S,0.052390057361376675,0.10745697896749522,0.2695984703632887,0.006883365200764819,0.008413001912045888,0.015296367112810707,59
36.036,-78.972,S,0.12027334851936218,0.06697038724373576,0.11890660592255126,0.0214123006833713,0.015945330296127564,0.006378132118451025,114
36.036,-78.972,S,0.12027334851936218,0.06697038724373576,0.11890660592255126,0.0214123006833713,0.015945330296127564,0.006378132118451025,114
42.494,-96.461,S,0.0,0.0,0.20588235294117646,0.0,0.0,0.0,179
42.489,-96.405,S,0.1984126984126984,0.03968253968253968,0.06349206349206349,0.1626984126984127,0.0,0.0,179
27.64,-82.67,S,0.006025889004612409,0.06829340871894063,0.15042404404106532,0.008406487129891385,0.005430739473292665,0.0034965034965034965,41
35.097,-77.027,S,0.03125,0.090625,0.05,0.0,0.0,0.0,115
35.094,-77.04,S,0.03125,0.090625,0.05,0.0,0.0,0.0,115
44.253,-85.37,S,0.0,0.0,0.0,0.0,0.0,0.0,208
44.253,-85.371,S,0.0,0.0,0.0,0.0,0.0,0.0,208
44.811,-93.04,S,0.11632270168855535,0.06128830519074421,0.08984782155513862,0.04461121534292266,0.03397957056493642,0.002918490723368772,205
44.835,-93.091,S,0.11632270168855535,0.06128830519074421,0.08984782155513862,0.04461121534292266,0.03397957056493642,0.002918490723368772,205
44.891,-93.184,S,0.11632270168855535,0.06128830519074421,0.08984782155513862,0.04461121534292266,0.03397957056493642,0.002918490723368772,205
44.899,-93.2,S,0.16881522406384286,0.06568446899938613,0.058931860036832415,0.002578268876611418,0.02983425414364641,0.003928790669122161,205
44.757,-88.568,S,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,207
44.757,-88.568,S,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,207
43.596,-116.355,S,0.021611463471928587,0.5330044632370213,0.2567535823349777,0.04275311252055438,0.057552266854592436,0.0204369274136716,171
43.597,-116.474,S,0.07751937984496124,0.03229974160206718,0.08914728682170543,0.01808785529715762,0.0,0.0,171
27.645,-82.673,S,0.006025889004612409,0.06829340871894063,0.15042404404106532,0.008406487129891385,0.005430739473292665,0.0034965034965034965,41
27.604,-82.643,S,0.006025889004612409,0.06829340871894063,0.15042404404106532,0.008406487129891385,0.005430739473292665,0.0034965034965034965,41
27.693,-82.679,S,0.009699129057798891,0.21199524940617578,0.2,0.0165083135391924,0.18036421219319082,0.021417260490894697,41
44.314,-84.489,S,0.12244897959183673,0.0,0.0,0.0,0.0,0.0,208
44.303,-84.369,S,0.13513513513513514,0.0,0.08108108108108109,0.0,0.0,0.0,208
44.313,-84.5,S,0.12244897959183673,0.0,0.0,0.0,0.0,0.0,208
44.302,-84.369,S,0.13513513513513514,0.0,0.08108108108108109,0.0,0.0,0.0,208
43.597,-116.355,S,0.021611463471928587,0.5330044632370213,0.2567535823349777,0.04275311252055438,0.057552266854592436,0.0204369274136716,171
43.61,-116.597,S,0.07751937984496124,0.03229974160206718,0.08914728682170543,0.01808785529715762,0.0,0.0,171
44.984,-93.288,S,0.15768381030673587,0.07362688177567693,0.08441658531572728,0.0019010430046755382,0.034681189950161846,0.003647947387350357,205
44.965,-93.257,S,0.15768381030673587,0.07362688177567693,0.08441658531572728,0.0019010430046755382,0.034681189950161846,0.003647947387350357,205
28.028,-82.738,S,0.009699129057798891,0.21199524940617578,0.2,0.0165083135391924,0.18036421219319082,0.021417260490894697,41
40.557,-84.45,S,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,160
40.557,-84.45,S,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,160
41.217,-75.988,S,0.051228070175438595,0.061052631578947365,0.062456140350877196,0.036491228070175435,0.002105263157894737,0.018245614035087718,164
41.217,-75.989,S,0.051228070175438595,0.061052631578947365,0.062456140350877196,0.036491228070175435,0.002105263157894737,0.018245614035087718,164
35.168,-85.282,S,0.03117170657810406,0.07498689040377557,0.060245877760298314,0.018877818563188254,0.0013400920584979315,0.01689681291149566,112
35.167,-85.282,S,0.03117170657810406,0.07498689040377557,0.060245877760298314,0.018877818563188254,0.0013400920584979315,0.01689681291149566,112
40.23,-74.792,S,0.12056434373663959,0.07011543394613083,0.1248396750748183,0.013253527148353997,0.013681060282171868,0.0021376656690893546,164
39.94,-86.113,S,0.06996381182147166,0.14837153196622438,0.09288299155609167,0.014475271411338963,0.0,0.0,160
39.943,-86.113,S,0.06996381182147166,0.14837153196622438,0.09288299155609167,0.014475271411338963,0.0,0.0,160
35.911,-84.122,S,0.10991710162726435,0.004298434141848327,0.030089038992938286,0.0,0.0052195271722443965,0.0015351550506601166,112
35.93,-84.138,S,0.10991710162726435,0.004298434141848327,0.030089038992938286,0.0,0.0052195271722443965,0.0015351550506601166,112
41.9,-72.643,S,0.14758925285241076,0.04195804195804196,0.08391608391608392,0.008097165991902834,0.0,0.004048582995951417,189
41.919,-72.689,S,0.14758925285241076,0.04195804195804196,0.08391608391608392,0.008097165991902834,0.0,0.004048582995951417,189
36.322,-95.821,S,0.0,0.0,0.07272727272727272,0.2,0.0,0.0,132
36.366,-95.822,S,0.0,0.0,0.07272727272727272,0.2,0.0,0.0,132
41.922,-72.696,S,0.14758925285241076,0.04195804195804196,0.08391608391608392,0.008097165991902834,0.0,0.004048582995951417,189
34.781,-92.161,S,0.09402869329197364,0.1950368359829391,0.06552927491275688,0.0021326095385808454,0.0021326095385808454,0.006979449398991857,109
