State,County,Start_Lat,Start_Lng,Junction,Crossing,Traffic_Signal,Stop,Station,Amenity,n_rows,n_acc
CT,Litchfield,41.748600845880354,-73.1800845235216,0.05630026809651475,0.05361930294906166,0.08310991957104558,0.16621983914209115,0.0,0.010723860589812333,373,137
CT,Lower Connecticut River Valley,41.4552966767757,-72.55097487012883,0.10246679316888045,0.058823529411764705,0.051233396584440226,0.0,0.0,0.0,527,366
CT,Middlesex,41.50461729651935,-72.60683314253127,0.08286852589641434,0.05179282868525897,0.07250996015936255,0.034262948207171316,0.0,0.0,1255,923
CT,Naugatuck Valley,41.513160729213816,-73.05855534925043,0.15894039735099338,0.010596026490066225,0.0423841059602649,0.018543046357615896,0.0,0.015894039735099338,755,576
CT,New Haven,41.42897887007477,-72.92643630986393,0.11404910649426123,0.046491355513584194,0.025424960046491356,0.02193810838297254,0.0,0.015690832485834666,6883,5293
CT,New London,41.440865187146876,-72.11406408531347,0.09425287356321839,0.03065134099616858,0.052873563218390804,0.0,0.0,0.0053639846743295016,1305,803
CT,Northeastern Connecticut,41.837212431533914,-71.96173981663607,0.03272727272727273,0.05090909090909091,0.01090909090909091,0.014545454545454545,0.02909090909090909,0.0,275,113
CT,Northwest Hills,41.83247894471937,-73.18611057378284,0.04664723032069971,0.05830903790087463,0.08163265306122448,0.21865889212827988,0.0,0.014577259475218658,343,125
CT,South Central Connecticut,41.375964608069786,-72.88095746064172,0.13243243243243244,0.05202702702702703,0.037162162162162164,0.029054054054054056,0.004054054054054054,0.01756756756756757,1480,1116
CT,Southeastern Connecticut,41.481796126601296,-72.08975221727893,0.08345120226308345,0.07213578500707214,0.0891089108910891,0.01272984441301273,0.0,0.015558698727015558,707,365
CT,Tolland,41.8555824200934,-72.34859077097555,0.09120521172638436,0.04234527687296417,0.04723127035830619,0.029315960912052116,0.0,0.0,614,292
CT,Western Connecticut,41.160532838089416,-73.45674184628868,0.12813171080887617,0.025769506084466716,0.04294917680744453,0.01145311381531854,0.0014316392269148174,0.0,1397,1116
CT,Windham,41.84251485334111,-71.97348472288267,0.07459207459207459,0.11888111888111888,0.055944055944055944,0.04428904428904429,0.023310023310023312,0.0,429,144
DC,District Of Columbia,38.91877196969697,-77.03122313636364,0.0,0.10606060606060606,0.4090909090909091,0.24242424242424243,0.12121212121212122,0.2727272727272727,66,22
